iter	CrossEntropy
0	0.685707732
1	0.6790263194
2	0.6721955948
3	0.6652181259
4	0.6586679204
5	0.6526264678
6	0.6463817307
7	0.6420792011
8	0.6364134586
9	0.6306380215
10	0.6249608456
11	0.619553317
12	0.614642624
13	0.610308645
14	0.6050262966
15	0.5999351917
16	0.5951100997
17	0.5905787622
18	0.5858262453
19	0.5811576342
20	0.5768127267
21	0.5729519493
22	0.5692128556
23	0.5654809809
24	0.5614760203
25	0.5577496818
26	0.5543950746
27	0.5510595844
28	0.5477045693
29	0.5445423548
30	0.5415897804
31	0.5383997304
32	0.535273523
33	0.5325555014
34	0.5298090263
35	0.5268897719
36	0.524140059
37	0.5214831175
38	0.5189930904
39	0.5165476857
40	0.5140000224
41	0.5116004234
42	0.5091213214
43	0.5067902883
44	0.5046176677
45	0.5025881219
46	0.5005827381
47	0.4987330629
48	0.4967309898
49	0.4950222704
50	0.4930467937
51	0.4912686551
52	0.4899050862
53	0.4880446443
54	0.4862819104
55	0.4845296231
56	0.4829881712
57	0.4814482741
58	0.4800689947
59	0.4785250187
60	0.47705548
61	0.4755841467
62	0.4740125317
63	0.4725437614
64	0.4712632963
65	0.469857922
66	0.4686471696
67	0.4674193926
68	0.4663890259
69	0.4652259463
70	0.4641778769
71	0.4630919159
72	0.4619359026
73	0.4611710538
74	0.4601354633
75	0.4594202464
76	0.45842715
77	0.4573238432
78	0.4562271978
79	0.4551576092
80	0.4542379975
81	0.4532927857
82	0.4523582604
83	0.4514628275
84	0.4505503043
85	0.4497696404
86	0.4488982383
87	0.4481393585
88	0.4472835807
89	0.4464833024
90	0.4455870821
91	0.4449247372
92	0.4441013405
93	0.4433506334
94	0.4426162603
95	0.4419270399
96	0.4412188448
97	0.4405678196
98	0.4402056888
99	0.4395589821
100	0.4389073743
101	0.4382036445
102	0.437631323
103	0.4370369972
104	0.4364695926
105	0.4359283505
106	0.4352958023
107	0.4348297762
108	0.4342142806
109	0.4337518225
110	0.4331784181
111	0.4326629603
112	0.4321339498
113	0.4315412461
114	0.4310906464
115	0.4306105979
116	0.43011182
117	0.4295755041
118	0.4290326776
119	0.4286597798
120	0.4281918288
121	0.4278445385
122	0.4274136268
123	0.4269809414
124	0.4264872469
125	0.4260979015
126	0.4256931594
127	0.4252374845
128	0.424896901
129	0.4245134566
130	0.4241337836
131	0.4237189526
132	0.4233046314
133	0.4228369235
134	0.4224204925
135	0.421991443
136	0.4216558978
137	0.4212810608
138	0.4209090437
139	0.4205635699
140	0.420223883
141	0.4198594972
142	0.4194893599
143	0.4191928395
144	0.4188570373
145	0.4185169163
146	0.4182036304
147	0.4179155732
148	0.4176089748
149	0.4172796815
150	0.4169913846
151	0.4166403583
152	0.4163693684
153	0.4160799823
154	0.4157895164
155	0.4155561276
156	0.415244321
157	0.4150147002
158	0.4147111963
159	0.4144768695
160	0.4141600793
161	0.4138551641
162	0.4136059719
163	0.413377103
164	0.4132210522
165	0.413001564
166	0.4127727219
167	0.4125513943
168	0.4122904871
169	0.4120747626
170	0.4117788233
171	0.4115455171
172	0.4113051044
173	0.4110587396
174	0.4107925759
175	0.4104940706
176	0.4103018382
177	0.4102049086
178	0.4099296794
179	0.4096999485
180	0.4094625548
181	0.4092093113
182	0.4089555414
183	0.4087510485
184	0.4084971787
185	0.4082823751
186	0.4080778484
187	0.4078895869
188	0.4076971935
189	0.4075008766
190	0.4072985871
191	0.4071140458
192	0.4069076424
193	0.4066611169
194	0.4064841773
195	0.406293039
196	0.4060724211
197	0.4059063195
198	0.4057158938
199	0.4054795807
