iter	Passed	Remaining
0	55	8275
1	57	4271
2	60	2986
3	62	2294
4	66	1922
5	68	1636
6	70	1432
7	73	1299
8	76	1199
9	79	1117
10	81	1034
11	82	951
12	84	891
13	86	843
14	89	805
15	91	769
16	94	737
17	96	711
18	98	680
19	102	667
20	105	649
21	108	628
22	111	613
23	113	594
24	115	575
25	116	556
26	119	544
27	122	533
28	124	520
29	127	510
30	132	508
31	135	499
32	137	488
33	140	480
34	143	470
35	146	462
36	148	453
37	151	446
38	153	437
39	156	430
40	158	422
41	165	424
42	167	417
43	169	409
44	172	403
45	175	396
46	176	387
47	178	379
48	181	373
49	183	367
50	186	361
51	189	357
52	194	355
53	196	348
54	198	342
55	200	337
56	203	332
57	205	326
58	207	320
59	209	314
60	212	310
61	216	307
62	218	302
63	220	296
64	222	291
65	227	289
66	229	283
67	232	280
68	234	274
69	236	270
70	241	268
71	243	264
72	246	259
73	248	255
74	250	250
75	252	245
76	255	242
77	258	238
78	259	233
79	261	228
80	263	224
81	266	220
82	268	216
83	270	212
84	275	210
85	278	207
86	280	203
87	282	199
88	284	194
89	286	190
90	290	188
91	292	184
92	296	181
93	298	177
94	300	173
95	305	172
96	309	169
97	311	165
98	313	161
99	315	157
100	318	154
101	322	151
102	323	147
103	329	145
104	332	142
105	334	138
106	336	135
107	339	132
108	341	128
109	343	124
110	345	121
111	349	118
112	356	116
113	358	113
114	359	109
115	362	106
116	364	102
117	367	99
118	369	96
119	370	92
120	373	89
121	375	86
122	381	83
123	385	80
124	386	77
125	389	74
126	391	70
127	393	67
128	395	64
129	398	61
130	400	58
131	405	55
132	407	52
133	410	48
134	412	45
135	417	42
136	419	39
137	421	36
138	423	33
139	427	30
140	434	27
141	438	24
142	442	21
143	445	18
144	449	15
145	451	12
146	452	9
147	454	6
148	457	3
149	459	0
